Event ID,Date,Peak Time,Peak Hour,Recovery Hour,Recovery Time,Recovery Threshold,Decay Duration (hours),Initial Concentration,Final Concentration,Decay Rate (µg/m³/hour),Decay Rate (µg/m³/minute)
8.0,2026-01-03,2026-01-03 11:00:00,11,12,2026-01-03 12:30:00,95.20843545838771,1.5,110.51533742331289,88.58895705521472,14.617586912065443,0.24362644853442406
9.0,2026-01-03,2026-01-03 19:30:00,19,23,2026-01-03 23:30:00,95.20843545838771,4.0,234.39877300613497,93.1890243902439,35.30243715397277,0.5883739525662128
10.0,2026-01-04,2026-01-04 12:00:00,12,13,2026-01-04 13:30:00,95.20843545838771,1.5,122.68711656441718,94.80981595092024,18.58486707566463,0.3097477845944105
11.0,2026-01-04,2026-01-04 19:30:00,19,21,2026-01-04 21:30:00,95.20843545838771,2.0,202.7987804878049,88.76073619631902,57.01902214574294,0.9503170357623822
14.0,2026-01-05,2026-01-05 19:30:00,19,20,2026-01-05 20:30:00,95.20843545838771,1.0,156.73170731707316,69.89024390243902,86.84146341463413,1.4473577235772355
16.0,2026-01-06,2026-01-06 08:00:00,8,9,2026-01-06 09:00:00,95.20843545838771,1.0,253.28658536585365,94.98159509202453,158.3049902738291,2.6384165045638186
18.0,2026-01-06,2026-01-06 12:00:00,12,13,2026-01-06 13:00:00,95.20843545838771,1.0,104.6219512195122,85.13414634146342,19.487804878048777,0.32479674796747965
19.0,2026-01-06,2026-01-06 17:30:00,17,18,2026-01-06 18:30:00,95.20843545838771,1.0,169.53048780487805,68.25766871165644,101.27281909322161,1.6878803182203603
20.0,2026-01-06,2026-01-06 22:00:00,22,1,2026-01-07 01:30:00,95.20843545838771,3.5,197.8159509202454,88.0,31.37598597721297,0.5229330996202162
22.0,2026-01-07,2026-01-07 21:00:00,21,1,2026-01-08 01:30:00,95.20843545838771,4.5,762.1219512195122,94.65853658536585,148.32520325203254,2.472086720867209
27.0,2026-01-10,2026-01-10 08:30:00,8,12,2026-01-10 12:00:00,95.20843545838771,3.5,217.69938650306747,78.37423312883436,39.807186678352316,0.6634531113058719
33.0,2026-01-12,2026-01-12 21:00:00,21,2,2026-01-13 02:00:00,95.20843545838771,5.0,350.6768292682927,93.0920245398773,51.51696094568308,0.8586160157613847
35.0,2026-01-13,2026-01-13 11:30:00,11,15,2026-01-13 15:00:00,95.20843545838771,3.5,322.9207317073171,92.8719512195122,65.72822299651568,1.0954703832752615
37.0,2026-01-14,2026-01-14 08:30:00,8,9,2026-01-14 09:30:00,95.20843545838771,1.0,153.30674846625766,83.88957055214723,69.41717791411043,1.1569529652351738
39.0,2026-01-14,2026-01-14 19:00:00,19,21,2026-01-14 21:00:00,95.20843545838771,2.0,193.25766871165644,90.90243902439025,51.177614843633094,0.8529602473938849
41.0,2026-01-15,2026-01-15 20:00:00,20,1,2026-01-16 01:30:00,95.20843545838771,5.5,246.76829268292684,91.77439024390245,28.180709534368074,0.4696784922394679
44.0,2026-01-16,2026-01-16 21:00:00,21,3,2026-01-17 03:30:00,95.20843545838771,6.5,508.1165644171779,92.89024390243902,63.88097238688291,1.064682873114715
45.0,2026-01-17,2026-01-17 08:00:00,8,12,2026-01-17 12:00:00,95.20843545838771,4.0,163.390243902439,90.28048780487805,18.27743902439024,0.30462398373983735
47.0,2026-01-18,2026-01-18 09:30:00,9,10,2026-01-18 10:30:00,95.20843545838771,1.0,100.07926829268293,95.07317073170732,5.006097560975604,0.0834349593495934
48.0,2026-01-18,2026-01-18 20:30:00,20,5,2026-01-19 05:30:00,95.20843545838771,9.0,236.06748466257667,79.15853658536585,17.434327564134534,0.2905721260689089
52.0,2026-01-20,2026-01-20 09:00:00,9,11,2026-01-20 11:00:00,95.20843545838771,2.0,249.87730061349694,87.65243902439025,81.11243079455335,1.351873846575889
53.0,2026-01-20,2026-01-20 20:00:00,20,23,2026-01-20 23:30:00,95.20843545838771,3.5,184.57926829268294,89.59146341463415,27.139372822299656,0.4523228803716609
54.0,2026-01-21,2026-01-21 09:00:00,9,10,2026-01-21 10:00:00,95.20843545838771,1.0,140.640243902439,84.5060975609756,56.134146341463406,0.9355691056910568
56.0,2026-01-21,2026-01-21 21:00:00,21,0,2026-01-22 00:00:00,95.20843545838771,3.0,341.4024390243902,91.6441717791411,83.25275574841636,1.3875459291402727
58.0,2026-01-22,2026-01-22 21:30:00,21,0,2026-01-23 00:30:00,95.20843545838771,3.0,299.4846625766871,87.89024390243902,70.53147289141604,1.1755245481902674
59.0,2026-01-23,2026-01-23 08:00:00,8,10,2026-01-23 10:00:00,95.20843545838771,2.0,225.6319018404908,94.90853658536585,65.36168262756247,1.0893613771260413
70.0,2026-01-28,2026-01-28 08:00:00,8,11,2026-01-28 11:00:00,95.20843545838771,3.0,134.58282208588957,84.91463414634147,16.556062646516036,0.27593437744193394
71.0,2026-01-28,2026-01-28 20:30:00,20,0,2026-01-29 00:00:00,95.20843545838771,3.5,320.3841463414634,75.25,70.0383275261324,1.1673054587688734
72.0,2026-01-29,2026-01-29 08:30:00,8,11,2026-01-29 11:00:00,95.20843545838771,2.5,141.20731707317074,90.11585365853658,20.436585365853666,0.3406097560975611
73.0,2026-01-29,2026-01-29 20:30:00,20,21,2026-01-29 21:30:00,95.20843545838771,1.0,181.97560975609755,86.45731707317073,95.51829268292683,1.5919715447154472
76.0,2026-01-30,2026-01-30 21:00:00,21,0,2026-01-31 00:30:00,95.20843545838771,3.5,401.2073170731707,86.19018404907976,90.00489514974028,1.5000815858290046
82.0,2026-02-02,2026-02-02 08:00:00,8,10,2026-02-02 10:30:00,95.20843545838771,2.5,170.44171779141104,93.88343558282209,30.62331288343558,0.5103885480572596
84.0,2026-02-03,2026-02-03 08:00:00,8,11,2026-02-03 11:00:00,95.20843545838771,3.0,134.17177914110428,93.6219512195122,13.516609307197362,0.2252768217866227
85.0,2026-02-03,2026-02-03 20:30:00,20,22,2026-02-03 22:30:00,95.20843545838771,2.0,179.71341463414635,76.97546012269939,51.36897725572348,0.8561496209287246
87.0,2026-02-04,2026-02-04 21:00:00,21,22,2026-02-04 22:00:00,95.20843545838771,1.0,211.41717791411043,67.86585365853658,143.55132425557383,2.3925220709262307
