Date,Peak ID,min_time,max_time,Duration (minutes)
2025-12-31,0,2025-12-31 00:00:00,2025-12-31 23:30:00,1410.0
2026-01-01,0,2026-01-01 00:00:00,2026-01-01 10:30:00,630.0
2026-01-03,1,2026-01-03 10:00:00,2026-01-03 12:00:00,120.0
2026-01-04,2,2026-01-04 09:30:00,2026-01-04 14:30:00,300.0
2026-01-05,3,2026-01-05 10:00:00,2026-01-05 10:00:00,0.016666666666666666
2026-01-06,4,2026-01-06 12:30:00,2026-01-06 12:30:00,0.016666666666666666
2026-01-06,5,2026-01-06 21:30:00,2026-01-06 23:30:00,120.0
2026-01-07,5,2026-01-07 00:00:00,2026-01-07 03:00:00,180.0
2026-01-07,6,2026-01-07 09:30:00,2026-01-07 23:30:00,840.0
2026-01-08,6,2026-01-08 00:00:00,2026-01-08 23:30:00,1410.0
2026-01-09,6,2026-01-09 00:00:00,2026-01-09 14:30:00,870.0
2026-01-09,7,2026-01-09 23:00:00,2026-01-09 23:30:00,30.0
2026-01-10,7,2026-01-10 00:00:00,2026-01-10 00:00:00,0.016666666666666666
2026-01-10,8,2026-01-10 06:00:00,2026-01-10 15:00:00,540.0
2026-01-10,9,2026-01-10 22:00:00,2026-01-10 23:30:00,90.0
2026-01-11,9,2026-01-11 00:00:00,2026-01-11 23:30:00,1410.0
2026-01-12,9,2026-01-12 00:00:00,2026-01-12 23:30:00,1410.0
2026-01-13,9,2026-01-13 00:00:00,2026-01-13 23:30:00,1410.0
2026-01-14,9,2026-01-14 00:00:00,2026-01-14 01:00:00,60.0
2026-01-14,10,2026-01-14 08:00:00,2026-01-14 11:00:00,180.0
2026-01-15,11,2026-01-15 09:00:00,2026-01-15 13:00:00,240.0
2026-01-15,12,2026-01-15 21:30:00,2026-01-15 23:30:00,120.0
2026-01-16,12,2026-01-16 00:00:00,2026-01-16 04:30:00,270.0
2026-01-16,13,2026-01-16 08:30:00,2026-01-16 14:30:00,360.0
2026-01-16,14,2026-01-16 20:30:00,2026-01-16 23:30:00,180.0
2026-01-17,14,2026-01-17 00:00:00,2026-01-17 23:30:00,1410.0
2026-01-19,15,2026-01-19 22:30:00,2026-01-19 23:30:00,60.0
2026-01-20,16,2026-01-20 12:30:00,2026-01-20 13:00:00,30.0
2026-01-20,17,2026-01-20 21:30:00,2026-01-20 23:30:00,120.0
2026-01-21,17,2026-01-21 00:00:00,2026-01-21 03:00:00,180.0
2026-01-21,18,2026-01-21 09:30:00,2026-01-21 23:30:00,840.0
2026-01-22,19,2026-01-22 10:30:00,2026-01-22 11:30:00,60.0
2026-01-24,20,2026-01-24 00:00:00,2026-01-24 23:30:00,1410.0
2026-01-25,21,2026-01-25 12:30:00,2026-01-25 13:00:00,30.0
2026-01-25,22,2026-01-25 21:30:00,2026-01-25 23:30:00,120.0
2026-01-26,22,2026-01-26 00:00:00,2026-01-26 23:30:00,1410.0
2026-01-27,23,2026-01-27 09:30:00,2026-01-27 12:30:00,180.0
2026-01-27,24,2026-01-27 21:30:00,2026-01-27 23:30:00,120.0
2026-01-28,25,2026-01-28 10:00:00,2026-01-28 14:30:00,270.0
2026-01-29,26,2026-01-29 00:00:00,2026-01-29 10:30:00,630.0
2026-01-30,27,2026-01-30 00:00:00,2026-01-30 00:30:00,30.0
2026-01-30,28,2026-01-30 05:30:00,2026-01-30 15:00:00,570.0
2026-01-30,29,2026-01-30 22:00:00,2026-01-30 23:30:00,90.0
2026-02-01,30,2026-02-01 12:30:00,2026-02-01 12:30:00,0.016666666666666666
2026-02-01,31,2026-02-01 21:30:00,2026-02-01 23:30:00,120.0
2026-02-02,31,2026-02-02 00:00:00,2026-02-02 23:30:00,1410.0
2026-02-03,31,2026-02-03 00:00:00,2026-02-03 23:30:00,1410.0
2026-02-04,31,2026-02-04 00:00:00,2026-02-04 10:30:00,630.0
2026-02-05,32,2026-02-05 00:00:00,2026-02-05 11:00:00,660.0
