Date,Peak ID,min_time,max_time,Duration (minutes)
2025-12-31,0,2025-12-31 00:00:00,2025-12-31 23:30:00,1410.0
2026-01-01,0,2026-01-01 00:00:00,2026-01-01 05:00:00,300.0
2026-01-01,1,2026-01-01 07:30:00,2026-01-01 10:30:00,180.0
2026-01-01,2,2026-01-01 12:30:00,2026-01-01 12:30:00,0.016666666666666666
2026-01-01,3,2026-01-01 18:00:00,2026-01-01 18:30:00,30.0
2026-01-02,4,2026-01-02 07:30:00,2026-01-02 08:00:00,30.0
2026-01-02,5,2026-01-02 09:00:00,2026-01-02 13:00:00,240.0
2026-01-03,6,2026-01-03 03:00:00,2026-01-03 13:00:00,600.0
2026-01-03,7,2026-01-03 19:00:00,2026-01-03 23:30:00,270.0
2026-01-04,7,2026-01-04 00:00:00,2026-01-04 00:00:00,0.016666666666666666
2026-01-04,8,2026-01-04 07:00:00,2026-01-04 14:30:00,450.0
2026-01-04,9,2026-01-04 19:00:00,2026-01-04 22:30:00,210.0
2026-01-05,10,2026-01-05 07:00:00,2026-01-05 14:00:00,420.0
2026-01-05,11,2026-01-05 19:00:00,2026-01-05 20:00:00,60.0
2026-01-05,12,2026-01-05 21:30:00,2026-01-05 21:30:00,0.016666666666666666
2026-01-06,13,2026-01-06 07:30:00,2026-01-06 13:00:00,330.0
2026-01-06,14,2026-01-06 17:00:00,2026-01-06 18:00:00,60.0
2026-01-06,15,2026-01-06 19:30:00,2026-01-06 23:30:00,240.0
2026-01-07,15,2026-01-07 00:00:00,2026-01-07 01:30:00,90.0
2026-01-07,16,2026-01-07 07:30:00,2026-01-07 23:30:00,960.0
2026-01-08,16,2026-01-08 00:00:00,2026-01-08 23:30:00,1410.0
2026-01-09,16,2026-01-09 00:00:00,2026-01-09 12:30:00,750.0
2026-01-09,17,2026-01-09 19:00:00,2026-01-09 23:30:00,270.0
2026-01-10,18,2026-01-10 05:30:00,2026-01-10 11:30:00,360.0
2026-01-10,19,2026-01-10 19:30:00,2026-01-10 23:30:00,240.0
2026-01-11,19,2026-01-11 00:00:00,2026-01-11 23:30:00,1410.0
2026-01-12,19,2026-01-12 00:00:00,2026-01-12 15:30:00,930.0
2026-01-12,20,2026-01-12 16:30:00,2026-01-12 23:30:00,420.0
2026-01-13,20,2026-01-13 00:00:00,2026-01-13 02:30:00,150.0
2026-01-13,21,2026-01-13 06:00:00,2026-01-13 16:00:00,600.0
2026-01-13,22,2026-01-13 17:30:00,2026-01-13 23:30:00,360.0
2026-01-14,23,2026-01-14 06:30:00,2026-01-14 09:30:00,180.0
2026-01-14,24,2026-01-14 18:30:00,2026-01-14 21:00:00,150.0
2026-01-14,25,2026-01-14 23:30:00,2026-01-14 23:30:00,0.016666666666666666
2026-01-15,25,2026-01-15 00:00:00,2026-01-15 00:30:00,30.0
2026-01-15,26,2026-01-15 05:00:00,2026-01-15 06:00:00,60.0
2026-01-15,27,2026-01-15 07:00:00,2026-01-15 12:30:00,330.0
2026-01-15,28,2026-01-15 19:00:00,2026-01-15 23:30:00,270.0
2026-01-16,28,2026-01-16 00:00:00,2026-01-16 01:30:00,90.0
2026-01-16,29,2026-01-16 07:00:00,2026-01-16 13:30:00,390.0
2026-01-16,30,2026-01-16 19:00:00,2026-01-16 23:30:00,270.0
2026-01-17,30,2026-01-17 00:00:00,2026-01-17 13:00:00,780.0
2026-01-17,31,2026-01-17 21:30:00,2026-01-17 23:00:00,90.0
2026-01-18,32,2026-01-18 00:30:00,2026-01-18 03:30:00,180.0
2026-01-18,33,2026-01-18 05:00:00,2026-01-18 08:00:00,180.0
2026-01-18,34,2026-01-18 09:30:00,2026-01-18 10:30:00,60.0
2026-01-18,35,2026-01-18 12:30:00,2026-01-18 13:00:00,30.0
2026-01-18,36,2026-01-18 19:00:00,2026-01-18 23:30:00,270.0
2026-01-19,36,2026-01-19 00:00:00,2026-01-19 05:00:00,300.0
2026-01-19,37,2026-01-19 07:00:00,2026-01-19 11:30:00,270.0
2026-01-19,38,2026-01-19 20:00:00,2026-01-19 23:30:00,210.0
2026-01-20,38,2026-01-20 00:00:00,2026-01-20 11:30:00,690.0
2026-01-20,39,2026-01-20 19:30:00,2026-01-20 23:30:00,240.0
