index,Peak Events
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,14
2025-12-30,7
2025-12-31,27
2026-01-01,8
2026-01-02,8
2026-01-03,4
2026-01-04,5
2026-01-05,4
2026-01-06,9
2026-01-07,1
2026-01-08,0
2026-01-09,7
2026-01-10,21
2026-01-11,18
2026-01-12,31
2026-01-13,16
2026-01-14,0
2026-01-15,0
2026-01-16,2
2026-01-17,10
2026-01-18,15
2026-01-19,3
2026-01-20,4
2026-01-21,0
2026-01-22,3
2026-01-23,4
2026-01-24,0
2026-01-25,0
2026-01-26,0
2026-01-27,2
2026-01-28,0
2026-01-29,0
2026-01-30,22
2026-01-31,0
2026-02-01,50
2026-02-02,8
2026-02-03,0
2026-02-04,0
