Day,Peak ID,min,max,Duration (minutes)
2025-12-30,1,2025-12-30 08:25:52,2025-12-30 08:31:43,5.85
2025-12-30,2,2025-12-30 08:33:11,2025-12-30 08:33:22,0.18333333333333332
2025-12-30,3,2025-12-30 08:38:20,2025-12-30 08:39:27,1.1166666666666667
2025-12-30,4,2025-12-30 08:42:16,2025-12-30 08:44:07,1.85
2025-12-31,5,2025-12-31 07:53:49,2025-12-31 07:53:49,0.016666666666666666
2025-12-31,6,2025-12-31 07:55:18,2025-12-31 07:55:18,0.016666666666666666
2025-12-31,7,2025-12-31 07:55:51,2025-12-31 07:55:51,0.016666666666666666
2025-12-31,8,2025-12-31 07:56:24,2025-12-31 07:56:24,0.016666666666666666
2025-12-31,9,2025-12-31 07:58:04,2025-12-31 07:58:04,0.016666666666666666
2025-12-31,10,2025-12-31 07:58:26,2025-12-31 08:12:04,13.633333333333333
2025-12-31,11,2025-12-31 08:12:37,2025-12-31 08:14:05,1.4666666666666666
2025-12-31,12,2025-12-31 08:14:27,2025-12-31 08:14:38,0.18333333333333332
2025-12-31,13,2025-12-31 08:15:00,2025-12-31 08:17:01,2.0166666666666666
2025-12-31,14,2025-12-31 08:18:07,2025-12-31 08:18:29,0.36666666666666664
2025-12-31,15,2025-12-31 08:18:51,2025-12-31 08:19:47,0.9333333333333333
2025-12-31,16,2025-12-31 08:20:09,2025-12-31 08:21:51,1.7
2025-12-31,17,2025-12-31 08:22:13,2025-12-31 09:06:50,44.61666666666667
2025-12-31,18,2025-12-31 09:07:13,2025-12-31 09:07:58,0.75
2025-12-31,19,2025-12-31 09:08:20,2025-12-31 09:08:20,0.016666666666666666
2025-12-31,20,2025-12-31 19:57:48,2025-12-31 19:59:06,1.3
2026-01-02,21,2026-01-02 10:28:28,2026-01-02 10:28:28,0.016666666666666666
2026-01-02,22,2026-01-02 10:29:13,2026-01-02 10:29:24,0.18333333333333332
2026-01-02,23,2026-01-02 10:29:46,2026-01-02 10:30:52,1.1
2026-01-02,24,2026-01-02 10:31:14,2026-01-02 10:31:25,0.18333333333333332
2026-01-02,25,2026-01-02 10:31:47,2026-01-02 10:50:19,18.533333333333335
2026-01-02,26,2026-01-02 17:26:52,2026-01-02 17:54:10,27.3
2026-01-02,27,2026-01-02 18:05:07,2026-01-02 18:05:07,0.016666666666666666
2026-01-02,28,2026-01-02 18:07:00,2026-01-02 18:10:28,3.466666666666667
2026-01-02,29,2026-01-02 18:11:23,2026-01-02 18:13:02,1.65
2026-01-02,30,2026-01-02 18:13:24,2026-01-02 18:13:24,0.016666666666666666
2026-01-02,31,2026-01-02 20:41:19,2026-01-02 20:47:26,6.116666666666666
2026-01-03,32,2026-01-03 10:17:52,2026-01-03 10:17:52,0.016666666666666666
2026-01-03,33,2026-01-03 10:18:14,2026-01-03 10:18:14,0.016666666666666666
2026-01-03,34,2026-01-03 10:19:09,2026-01-03 10:19:42,0.55
2026-01-03,35,2026-01-03 10:20:05,2026-01-03 10:20:16,0.18333333333333332
2026-01-03,36,2026-01-03 10:21:24,2026-01-03 10:23:49,2.4166666666666665
2026-01-04,37,2026-01-04 12:19:08,2026-01-04 12:21:21,2.216666666666667
2026-01-04,38,2026-01-04 12:21:43,2026-01-04 12:22:27,0.7333333333333333
2026-01-04,39,2026-01-04 12:23:44,2026-01-04 12:23:44,0.016666666666666666
2026-01-04,40,2026-01-04 12:43:10,2026-01-04 12:43:55,0.75
2026-01-04,41,2026-01-04 12:44:28,2026-01-04 12:54:29,10.016666666666667
2026-01-04,42,2026-01-04 13:01:11,2026-01-04 13:10:43,9.533333333333333
2026-01-06,43,2026-01-06 10:51:34,2026-01-06 10:51:34,0.016666666666666666
2026-01-06,44,2026-01-06 19:41:21,2026-01-06 19:46:45,5.4
2026-01-06,45,2026-01-06 19:47:18,2026-01-06 19:47:51,0.55
2026-01-06,46,2026-01-06 19:48:24,2026-01-06 19:48:24,0.016666666666666666
2026-01-06,47,2026-01-06 19:49:53,2026-01-06 19:59:13,9.333333333333334
2026-01-06,48,2026-01-06 20:01:26,2026-01-06 20:01:26,0.016666666666666666
2026-01-07,49,2026-01-07 10:49:45,2026-01-07 10:50:30,0.75
2026-01-07,50,2026-01-07 10:50:51,2026-01-07 10:50:51,0.016666666666666666
2026-01-07,51,2026-01-07 10:55:09,2026-01-07 10:55:20,0.18333333333333332
2026-01-07,52,2026-01-07 10:55:42,2026-01-07 10:55:54,0.2
2026-01-07,53,2026-01-07 10:56:39,2026-01-07 10:58:55,2.2666666666666666
2026-01-07,54,2026-01-07 11:01:30,2026-01-07 11:07:49,6.316666666666666
2026-01-07,55,2026-01-07 11:10:01,2026-01-07 11:19:17,9.266666666666667
2026-01-07,56,2026-01-07 11:20:13,2026-01-07 11:20:13,0.016666666666666666
2026-01-12,57,2026-01-12 04:32:25,2026-01-12 04:51:21,18.933333333333334
2026-01-12,58,2026-01-12 20:31:33,2026-01-12 20:34:09,2.6
2026-01-12,59,2026-01-12 20:37:30,2026-01-12 20:38:25,0.9166666666666666
2026-01-12,60,2026-01-12 20:40:50,2026-01-12 20:41:02,0.2
2026-01-13,61,2026-01-13 07:01:48,2026-01-13 07:01:59,0.18333333333333332
2026-01-13,62,2026-01-13 07:02:21,2026-01-13 07:02:54,0.55
2026-01-13,63,2026-01-13 07:03:16,2026-01-13 08:19:01,75.75
2026-01-13,64,2026-01-13 08:19:24,2026-01-13 08:19:35,0.18333333333333332
2026-01-13,65,2026-01-13 08:19:57,2026-01-13 08:20:20,0.38333333333333336
2026-01-13,66,2026-01-13 08:20:54,2026-01-13 08:23:39,2.75
2026-01-13,67,2026-01-13 08:24:01,2026-01-13 08:24:12,0.18333333333333332
2026-01-13,68,2026-01-13 08:24:34,2026-01-13 08:24:34,0.016666666666666666
2026-01-13,69,2026-01-13 08:25:07,2026-01-13 08:25:07,0.016666666666666666
2026-01-13,70,2026-01-13 08:25:29,2026-01-13 08:26:02,0.55
2026-01-17,71,2026-01-17 12:09:19,2026-01-17 12:09:19,0.016666666666666666
2026-01-17,72,2026-01-17 12:12:06,2026-01-17 12:14:10,2.066666666666667
2026-01-17,73,2026-01-17 12:15:05,2026-01-17 12:15:05,0.016666666666666666
2026-01-17,74,2026-01-17 12:16:00,2026-01-17 12:16:44,0.7333333333333333
2026-01-17,75,2026-01-17 12:17:17,2026-01-17 12:17:39,0.36666666666666664
2026-01-17,76,2026-01-17 12:18:01,2026-01-17 12:18:01,0.016666666666666666
2026-01-17,77,2026-01-17 12:18:24,2026-01-17 12:19:21,0.95
2026-01-17,78,2026-01-17 12:20:29,2026-01-17 12:23:15,2.7666666666666666
2026-01-17,79,2026-01-17 12:24:54,2026-01-17 12:25:27,0.55
2026-01-17,80,2026-01-17 12:25:50,2026-01-17 12:26:01,0.18333333333333332
2026-01-17,81,2026-01-17 12:26:58,2026-01-17 12:41:59,15.016666666666667
2026-01-17,82,2026-01-17 12:42:21,2026-01-17 12:49:57,7.6
2026-01-17,83,2026-01-17 12:52:13,2026-01-17 12:54:16,2.05
2026-01-17,84,2026-01-17 12:54:38,2026-01-17 12:54:38,0.016666666666666666
2026-01-17,85,2026-01-17 12:55:11,2026-01-17 12:55:44,0.55
2026-01-19,86,2026-01-19 11:16:13,2026-01-19 11:16:24,0.18333333333333332
2026-01-19,87,2026-01-19 11:25:30,2026-01-19 11:46:05,20.583333333333332
2026-01-19,88,2026-01-19 11:46:39,2026-01-19 11:47:01,0.36666666666666664
2026-01-19,89,2026-01-19 11:47:47,2026-01-19 11:47:59,0.2
2026-01-19,90,2026-01-19 11:48:21,2026-01-19 11:48:43,0.36666666666666664
2026-01-19,91,2026-01-19 11:49:16,2026-01-19 11:50:55,1.65
2026-01-20,92,2026-01-20 20:23:01,2026-01-20 20:24:51,1.8333333333333333
2026-01-20,93,2026-01-20 20:25:57,2026-01-20 20:29:17,3.3333333333333335
2026-01-20,94,2026-01-20 20:45:53,2026-01-20 20:45:53,0.016666666666666666
2026-01-20,95,2026-01-20 20:46:26,2026-01-20 20:48:27,2.0166666666666666
2026-01-20,96,2026-01-20 20:49:22,2026-01-20 20:49:55,0.55
2026-01-20,97,2026-01-20 20:50:17,2026-01-20 20:50:50,0.55
2026-01-20,98,2026-01-20 20:51:45,2026-01-20 20:53:37,1.8666666666666667
2026-01-20,99,2026-01-20 20:57:53,2026-01-20 20:57:53,0.016666666666666666
2026-01-20,100,2026-01-20 20:58:15,2026-01-20 21:08:41,10.433333333333334
2026-01-20,101,2026-01-20 21:10:12,2026-01-20 21:11:07,0.9166666666666666
2026-01-20,102,2026-01-20 21:11:40,2026-01-20 21:11:40,0.016666666666666666
2026-01-21,103,2026-01-21 12:26:08,2026-01-21 12:26:08,0.016666666666666666
2026-01-21,104,2026-01-21 12:26:30,2026-01-21 12:32:50,6.333333333333333
2026-01-21,105,2026-01-21 12:35:27,2026-01-21 12:35:38,0.18333333333333332
2026-01-22,106,2026-01-22 09:52:07,2026-01-22 09:52:29,0.36666666666666664
2026-01-22,107,2026-01-22 09:53:15,2026-01-22 09:59:44,6.483333333333333
2026-01-22,108,2026-01-22 10:01:37,2026-01-22 10:01:48,0.18333333333333332
2026-01-22,109,2026-01-22 10:19:47,2026-01-22 11:44:21,84.56666666666666
2026-01-22,110,2026-01-22 11:44:43,2026-01-22 11:49:46,5.05
2026-01-22,111,2026-01-22 11:50:30,2026-01-22 11:50:30,0.016666666666666666
2026-01-22,112,2026-01-22 11:51:36,2026-01-22 11:51:36,0.016666666666666666
2026-01-22,113,2026-01-22 11:53:37,2026-01-22 11:54:10,0.55
2026-01-23,114,2026-01-23 12:46:07,2026-01-23 12:46:40,0.55
2026-01-23,115,2026-01-23 12:48:08,2026-01-23 13:19:33,31.416666666666668
2026-01-24,116,2026-01-24 11:58:24,2026-01-24 12:03:48,5.4
