index,Peak Events
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,4
2025-12-31,16
2026-01-01,0
2026-01-02,11
2026-01-03,5
2026-01-04,6
2026-01-05,0
2026-01-06,6
2026-01-07,8
2026-01-08,0
2026-01-09,0
2026-01-10,0
2026-01-11,0
2026-01-12,4
2026-01-13,10
2026-01-14,0
2026-01-15,0
2026-01-16,0
2026-01-17,15
2026-01-18,0
2026-01-19,6
2026-01-20,11
2026-01-21,3
2026-01-22,8
2026-01-23,2
2026-01-24,1
2026-01-25,0
2026-01-26,0
2026-01-27,0
2026-01-28,0
2026-01-29,0
2026-01-30,0
2026-01-31,0
2026-02-01,0
2026-02-02,0
2026-02-03,0
2026-02-04,0
