index,Peak Events
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,4
2025-12-30,2
2025-12-31,13
2026-01-01,12
2026-01-02,6
2026-01-03,15
2026-01-04,15
2026-01-05,4
2026-01-06,14
2026-01-07,6
2026-01-08,0
2026-01-09,2
2026-01-10,3
2026-01-11,9
2026-01-12,16
2026-01-13,13
2026-01-14,0
2026-01-15,0
2026-01-16,0
2026-01-17,8
2026-01-18,18
2026-01-19,5
2026-01-20,11
2026-01-21,5
2026-01-22,7
2026-01-23,5
2026-01-24,5
2026-01-25,0
2026-01-26,2
2026-01-27,8
2026-01-28,0
2026-01-29,0
2026-01-30,7
2026-01-31,1
2026-02-01,4
2026-02-02,6
2026-02-03,1
2026-02-04,0
