index,Peak Events
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,0
2025-12-31,0
2026-01-01,0
2026-01-02,0
2026-01-03,3
2026-01-04,8
2026-01-05,0
2026-01-06,0
2026-01-07,11
2026-01-08,8
2026-01-09,33
2026-01-10,13
2026-01-11,33
2026-01-12,20
2026-01-13,15
2026-01-14,3
2026-01-15,3
2026-01-16,19
2026-01-17,9
2026-01-18,1
2026-01-19,2
2026-01-20,6
2026-01-21,1
2026-01-22,97
2026-01-23,3
2026-01-24,1
2026-01-25,1
2026-01-26,19
2026-01-27,8
2026-01-28,0
2026-01-29,1
2026-01-30,10
2026-01-31,62
2026-02-01,45
2026-02-02,6
2026-02-03,16
2026-02-04,0
2026-02-05,7
