Day,Max pm2.5atm
2026-01-03,156.0
2026-01-04,200.0
2026-01-07,200.0
2026-01-08,189.0
2026-01-09,200.0
2026-01-10,200.0
2026-01-11,200.0
2026-01-12,200.0
2026-01-13,182.0
2026-01-14,200.0
2026-01-15,196.0
2026-01-16,200.0
2026-01-17,200.0
2026-01-18,198.0
2026-01-19,156.0
2026-01-20,198.0
2026-01-21,180.0
2026-01-22,192.0
2026-01-23,200.0
2026-01-24,182.0
2026-01-25,200.0
2026-01-26,200.0
2026-01-27,183.0
2026-01-29,165.0
2026-01-30,186.0
2026-01-31,192.0
2026-02-01,200.0
2026-02-02,166.0
2026-02-03,199.0
2026-02-05,192.0
