index,Peak Events
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,0
2025-12-31,0
2026-01-01,0
2026-01-02,0
2026-01-03,2
2026-01-04,2
2026-01-05,2
2026-01-06,1
2026-01-07,16
2026-01-08,2
2026-01-09,4
2026-01-10,6
2026-01-11,4
2026-01-12,5
2026-01-13,9
2026-01-14,3
2026-01-15,2
2026-01-16,2
2026-01-17,4
2026-01-18,1
2026-01-19,0
2026-01-20,2
2026-01-21,0
2026-01-22,5
2026-01-23,3
2026-01-24,1
2026-01-25,12
2026-01-26,2
2026-01-27,0
2026-01-28,0
2026-01-29,2
2026-01-30,2
2026-01-31,3
2026-02-01,11
2026-02-02,1
2026-02-03,1
2026-02-04,1
2026-02-05,2
