Day,Max pm2.5atm
2026-01-03,319.0
2026-01-04,745.0
2026-01-05,317.0
2026-01-06,303.0
2026-01-07,490.0
2026-01-08,305.0
2026-01-09,364.0
2026-01-10,376.0
2026-01-11,439.0
2026-01-12,441.0
2026-01-13,616.0
2026-01-14,681.0
2026-01-15,329.0
2026-01-16,348.0
2026-01-17,383.0
2026-01-18,526.0
2026-01-20,350.0
2026-01-22,354.0
2026-01-23,404.0
2026-01-24,519.0
2026-01-25,459.0
2026-01-26,539.0
2026-01-29,314.0
2026-01-30,379.0
2026-01-31,619.0
2026-02-01,419.0
2026-02-02,304.0
2026-02-03,433.0
2026-02-04,439.0
2026-02-05,459.0
