Day,Peak ID,min,max,Duration (minutes)
2026-01-07,1,2026-01-07 20:39:56,2026-01-07 20:39:56,0.016666666666666666
2026-01-09,2,2026-01-09 21:39:36,2026-01-09 21:40:09,0.55
2026-01-10,3,2026-01-10 10:08:22,2026-01-10 10:08:33,0.18333333333333332
2026-01-13,4,2026-01-13 19:55:11,2026-01-13 19:55:11,0.016666666666666666
2026-01-13,5,2026-01-13 19:58:29,2026-01-13 19:58:40,0.18333333333333332
2026-01-13,6,2026-01-13 19:59:24,2026-01-13 20:00:19,0.9166666666666666
2026-01-17,7,2026-01-17 20:53:01,2026-01-17 20:54:51,1.8333333333333333
2026-01-17,8,2026-01-17 20:55:35,2026-01-17 21:56:16,60.68333333333333
2026-01-20,9,2026-01-20 18:55:51,2026-01-20 18:56:57,1.1
2026-01-20,10,2026-01-20 18:57:30,2026-01-20 19:02:38,5.133333333333334
2026-01-20,11,2026-01-20 19:05:45,2026-01-20 19:06:07,0.36666666666666664
2026-01-20,12,2026-01-20 19:06:29,2026-01-20 19:06:29,0.016666666666666666
2026-01-20,13,2026-01-20 19:07:46,2026-01-20 19:10:20,2.566666666666667
2026-01-20,14,2026-01-20 19:11:04,2026-01-20 19:11:04,0.016666666666666666
2026-01-20,15,2026-01-20 19:11:26,2026-01-20 19:12:54,1.4666666666666666
2026-01-20,16,2026-01-20 19:14:00,2026-01-20 19:19:52,5.866666666666666
2026-01-20,17,2026-01-20 19:21:53,2026-01-20 19:39:07,17.233333333333334
2026-01-20,18,2026-01-20 19:40:35,2026-01-20 19:40:35,0.016666666666666666
2026-01-20,19,2026-01-20 19:41:30,2026-01-20 19:41:30,0.016666666666666666
2026-01-20,20,2026-01-20 19:42:36,2026-01-20 19:42:47,0.18333333333333332
2026-01-20,21,2026-01-20 19:45:32,2026-01-20 19:45:32,0.016666666666666666
2026-01-20,22,2026-01-20 19:48:06,2026-01-20 19:48:28,0.36666666666666664
2026-01-21,23,2026-01-21 20:40:21,2026-01-21 21:18:19,37.96666666666667
2026-01-21,24,2026-01-21 21:19:03,2026-01-21 21:19:36,0.55
2026-01-21,25,2026-01-21 21:30:36,2026-01-21 21:30:36,0.016666666666666666
2026-01-22,26,2026-01-22 19:06:18,2026-01-22 19:06:18,0.016666666666666666
2026-01-22,27,2026-01-22 19:18:13,2026-01-22 19:18:13,0.016666666666666666
2026-01-22,28,2026-01-22 19:20:47,2026-01-22 19:20:47,0.016666666666666666
2026-01-22,29,2026-01-22 19:21:09,2026-01-22 19:21:09,0.016666666666666666
2026-01-22,30,2026-01-22 19:21:31,2026-01-22 19:21:31,0.016666666666666666
2026-01-22,31,2026-01-22 19:22:04,2026-01-22 19:22:48,0.7333333333333333
2026-01-22,32,2026-01-22 19:23:10,2026-01-22 19:26:28,3.3
2026-01-22,33,2026-01-22 19:26:50,2026-01-22 19:38:34,11.733333333333333
2026-01-22,34,2026-01-22 19:41:19,2026-01-22 19:41:41,0.36666666666666664
2026-01-22,35,2026-01-22 19:43:09,2026-01-22 19:43:20,0.18333333333333332
2026-01-22,36,2026-01-22 19:43:42,2026-01-22 19:43:42,0.016666666666666666
2026-01-22,37,2026-01-22 19:44:26,2026-01-22 19:44:26,0.016666666666666666
2026-01-22,38,2026-01-22 19:44:59,2026-01-22 19:44:59,0.016666666666666666
2026-01-22,39,2026-01-22 19:45:32,2026-01-22 19:46:49,1.2833333333333334
2026-01-22,40,2026-01-22 19:47:11,2026-01-22 19:47:22,0.18333333333333332
2026-01-22,41,2026-01-22 19:48:17,2026-01-22 19:48:17,0.016666666666666666
2026-01-22,42,2026-01-22 19:48:39,2026-01-22 19:48:39,0.016666666666666666
2026-01-22,43,2026-01-22 20:00:01,2026-01-22 20:00:23,0.36666666666666664
2026-01-22,44,2026-01-22 20:00:45,2026-01-22 20:01:18,0.55
2026-01-22,45,2026-01-22 20:01:40,2026-01-22 20:01:40,0.016666666666666666
2026-01-22,46,2026-01-22 20:02:24,2026-01-22 20:02:24,0.016666666666666666
2026-01-22,47,2026-01-22 20:03:52,2026-01-22 20:04:25,0.55
2026-01-22,48,2026-01-22 20:05:20,2026-01-22 20:05:20,0.016666666666666666
2026-01-22,49,2026-01-22 20:06:15,2026-01-22 20:06:15,0.016666666666666666
2026-01-22,50,2026-01-22 20:06:37,2026-01-22 20:06:59,0.36666666666666664
2026-01-22,51,2026-01-22 20:07:32,2026-01-22 20:07:32,0.016666666666666666
2026-01-22,52,2026-01-22 20:07:54,2026-01-22 20:07:54,0.016666666666666666
2026-01-22,53,2026-01-22 20:08:38,2026-01-22 20:08:38,0.016666666666666666
2026-01-22,54,2026-01-22 20:11:01,2026-01-22 20:11:01,0.016666666666666666
2026-01-24,55,2026-01-24 07:46:31,2026-01-24 07:46:31,0.016666666666666666
2026-01-24,56,2026-01-24 07:47:48,2026-01-24 07:47:48,0.016666666666666666
2026-01-24,57,2026-01-24 07:48:10,2026-01-24 07:48:21,0.18333333333333332
2026-01-24,58,2026-01-24 07:48:43,2026-01-24 08:38:57,50.233333333333334
2026-01-24,59,2026-01-24 08:39:19,2026-01-24 08:40:36,1.2833333333333334
2026-01-24,60,2026-01-24 08:40:58,2026-01-24 08:41:42,0.7333333333333333
2026-01-24,61,2026-01-24 08:42:15,2026-01-24 08:44:49,2.566666666666667
2026-01-24,62,2026-01-24 08:45:23,2026-01-24 08:45:45,0.36666666666666664
2026-01-25,63,2026-01-25 08:35:12,2026-01-25 09:04:22,29.166666666666668
2026-01-28,64,2026-01-28 20:06:46,2026-01-28 20:07:08,0.36666666666666664
2026-01-28,65,2026-01-28 20:07:52,2026-01-28 20:10:37,2.75
2026-01-28,66,2026-01-28 20:13:44,2026-01-28 20:13:44,0.016666666666666666
2026-02-01,67,2026-02-01 08:07:38,2026-02-01 09:02:38,55.0
2026-02-01,68,2026-02-01 09:03:00,2026-02-01 09:05:45,2.75
2026-02-01,69,2026-02-01 09:08:41,2026-02-01 09:08:52,0.18333333333333332
2026-02-08,70,2026-02-08 08:03:23,2026-02-08 08:03:23,0.016666666666666666
2026-02-08,71,2026-02-08 08:03:56,2026-02-08 08:03:56,0.016666666666666666
2026-02-08,72,2026-02-08 08:04:29,2026-02-08 08:04:29,0.016666666666666666
2026-02-08,73,2026-02-08 08:04:51,2026-02-08 08:05:35,0.7333333333333333
2026-02-08,74,2026-02-08 08:05:57,2026-02-08 08:07:03,1.1
2026-02-08,75,2026-02-08 08:07:58,2026-02-08 08:31:16,23.3
2026-02-08,76,2026-02-08 08:32:22,2026-02-08 08:32:22,0.016666666666666666
2026-02-08,77,2026-02-08 08:34:23,2026-02-08 08:34:45,0.36666666666666664
2026-02-08,78,2026-02-08 08:35:29,2026-02-08 08:35:40,0.18333333333333332
2026-02-08,79,2026-02-08 08:36:02,2026-02-08 08:36:13,0.18333333333333332
