Day,Peak ID,min,max,Duration (minutes)
2026-01-24,1,2026-01-24 08:16:33,2026-01-24 08:22:47,6.233333333333333
2026-01-30,2,2026-01-30 19:42:34,2026-01-30 19:43:07,0.55
2026-01-31,3,2026-01-31 19:54:01,2026-01-31 19:54:01,0.016666666666666666
2026-01-31,4,2026-01-31 20:01:43,2026-01-31 20:01:43,0.016666666666666666
2026-02-01,5,2026-02-01 08:11:01,2026-02-01 08:23:29,12.466666666666667
2026-02-01,6,2026-02-01 08:23:51,2026-02-01 08:24:24,0.55
2026-02-01,7,2026-02-01 08:26:36,2026-02-01 08:26:47,0.18333333333333332
2026-02-01,8,2026-02-01 08:27:20,2026-02-01 08:30:49,3.4833333333333334
2026-02-01,9,2026-02-01 08:34:07,2026-02-01 08:36:30,2.3833333333333333
2026-02-01,10,2026-02-01 08:37:14,2026-02-01 08:43:17,6.05
