Event ID,Date,Peak Time,Peak Hour,Recovery Hour,Recovery Time,Recovery Threshold,Decay Duration (hours),Initial Concentration,Final Concentration,Decay Rate (µg/m³/hour),Decay Rate (µg/m³/minute)
1.0,2025-12-29,2025-12-29 21:00:00,21,2,2025-12-30 02:00:00,94.40852807166607,5.0,146.46913580246914,93.77160493827161,10.539506172839506,0.17565843621399177
2.0,2025-12-30,2025-12-30 08:30:00,8,14,2025-12-30 14:00:00,94.40852807166607,5.5,246.0493827160494,88.1840490797546,28.70278793387178,0.478379798897863
7.0,2026-01-01,2026-01-01 10:30:00,10,13,2026-01-01 13:00:00,94.40852807166607,2.5,130.89634146341464,83.73294941282747,18.865356820234872,0.3144226136705812
8.0,2026-01-01,2026-01-01 18:00:00,18,19,2026-01-01 19:00:00,94.40852807166607,1.0,97.77533515110203,60.73900933453779,37.036325816564236,0.6172720969427373
11.0,2026-01-02,2026-01-02 17:30:00,17,19,2026-01-02 19:30:00,94.40852807166607,2.0,202.01081193668108,85.60147545919904,58.20466823874102,0.970077803979017
12.0,2026-01-02,2026-01-02 20:30:00,20,22,2026-01-02 22:00:00,94.40852807166607,1.5,150.602116943119,80.80018179063778,46.53462343498748,0.7755770572497913
13.0,2026-01-03,2026-01-03 10:00:00,10,11,2026-01-03 11:30:00,94.40852807166607,1.5,189.35109444823146,92.53743464029783,64.54243987195575,1.0757073311992624
14.0,2026-01-03,2026-01-03 19:00:00,19,23,2026-01-03 23:30:00,94.40852807166607,4.5,157.38024682006656,91.39323610857105,14.663780158110114,0.2443963359685019
16.0,2026-01-04,2026-01-04 12:00:00,12,15,2026-01-04 15:00:00,94.40852807166607,3.0,146.66681908826482,77.46588273326624,23.066978784999524,0.38444964641665874
18.0,2026-01-04,2026-01-04 19:30:00,19,0,2026-01-05 00:00:00,94.40852807166607,4.5,207.0776892421022,80.39277689414023,28.15220274399155,0.4692033790665258
19.0,2026-01-05,2026-01-05 11:00:00,11,13,2026-01-05 13:00:00,94.40852807166607,2.0,137.08172856935292,91.73061627893647,22.675556145208226,0.37792593575347044
20.0,2026-01-05,2026-01-05 19:00:00,19,20,2026-01-05 20:00:00,94.40852807166607,1.0,97.75315531296151,81.57388235628267,16.179272956678844,0.2696545492779807
21.0,2026-01-06,2026-01-06 08:00:00,8,9,2026-01-06 09:00:00,94.40852807166607,1.0,154.6060256021815,83.64511853366659,70.9609070685149,1.1826817844752484
22.0,2026-01-06,2026-01-06 10:30:00,10,12,2026-01-06 12:30:00,94.40852807166607,2.0,142.79847937368262,93.18751420131788,24.80548258618237,0.4134247097697062
23.0,2026-01-06,2026-01-06 19:30:00,19,2,2026-01-07 02:00:00,94.40852807166607,6.5,182.64197530864197,79.90389713679745,15.805858180283773,0.26343096967139623
24.0,2026-01-07,2026-01-07 11:00:00,11,15,2026-01-07 15:30:00,94.40852807166607,4.5,210.28200030296145,92.3080567516417,26.216431900293276,0.4369405316715546
25.0,2026-01-07,2026-01-07 21:00:00,21,1,2026-01-08 01:30:00,94.40852807166607,4.5,429.9301066424527,89.19707919301415,75.71845054431968,1.2619741757386613
29.0,2026-01-09,2026-01-09 09:30:00,9,13,2026-01-09 13:30:00,94.40852807166607,4.0,292.4689928347908,87.0281091418617,51.360220923232276,0.8560036820538712
30.0,2026-01-09,2026-01-09 18:30:00,18,0,2026-01-10 00:00:00,94.40852807166607,5.5,129.03483351623825,93.1766643944558,6.519667113051355,0.10866111855085592
36.0,2026-01-12,2026-01-12 21:00:00,21,3,2026-01-13 03:30:00,94.40852807166607,6.5,226.77494466326652,93.43066391455841,20.51450473057048,0.3419084121761747
37.0,2026-01-13,2026-01-13 07:30:00,7,16,2026-01-13 16:30:00,94.40852807166607,9.0,197.35818435883385,89.2184755075221,12.015523205701307,0.20025872009502177
