Date,Peak ID,min_time,max_time,Duration (minutes)
2025-12-29,0,2025-12-29 13:42:00,2025-12-29 23:59:00,617.0
2025-12-30,0,2025-12-30 00:00:00,2025-12-30 23:59:00,1439.0
2025-12-31,0,2025-12-31 00:00:00,2025-12-31 23:59:00,1439.0
2026-01-01,0,2026-01-01 00:00:00,2026-01-01 14:53:00,893.0
2026-01-01,1,2026-01-01 14:55:00,2026-01-01 14:55:00,0.016666666666666666
2026-01-01,2,2026-01-01 18:51:00,2026-01-01 19:00:00,9.0
2026-01-01,3,2026-01-01 19:04:00,2026-01-01 19:05:00,1.0
2026-01-01,4,2026-01-01 19:12:00,2026-01-01 21:10:00,118.0
2026-01-02,5,2026-01-02 08:33:00,2026-01-02 08:35:00,2.0
2026-01-02,6,2026-01-02 08:45:00,2026-01-02 08:45:00,0.016666666666666666
2026-01-02,7,2026-01-02 08:48:00,2026-01-02 08:51:00,3.0
2026-01-02,8,2026-01-02 08:53:00,2026-01-02 08:58:00,5.0
2026-01-02,9,2026-01-02 09:00:00,2026-01-02 09:00:00,0.016666666666666666
2026-01-02,10,2026-01-02 09:49:00,2026-01-02 09:54:00,5.0
2026-01-02,11,2026-01-02 10:52:00,2026-01-02 14:20:00,208.0
2026-01-02,12,2026-01-02 14:22:00,2026-01-02 14:23:00,1.0
2026-01-02,13,2026-01-02 17:20:00,2026-01-02 17:20:00,0.016666666666666666
2026-01-02,14,2026-01-02 18:37:00,2026-01-02 19:30:00,53.0
2026-01-02,15,2026-01-02 20:31:00,2026-01-02 20:38:00,7.0
2026-01-02,16,2026-01-02 21:17:00,2026-01-02 21:18:00,1.0
2026-01-02,17,2026-01-02 21:24:00,2026-01-02 22:16:00,52.0
2026-01-03,18,2026-01-03 05:53:00,2026-01-03 07:15:00,82.0
2026-01-03,19,2026-01-03 07:17:00,2026-01-03 07:18:00,1.0
2026-01-03,20,2026-01-03 07:23:00,2026-01-03 07:23:00,0.016666666666666666
2026-01-03,21,2026-01-03 07:26:00,2026-01-03 07:30:00,4.0
2026-01-03,22,2026-01-03 07:32:00,2026-01-03 07:38:00,6.0
2026-01-03,23,2026-01-03 07:40:00,2026-01-03 14:09:00,389.0
2026-01-03,24,2026-01-03 19:24:00,2026-01-03 23:54:00,270.0
2026-01-03,25,2026-01-03 23:56:00,2026-01-03 23:59:00,3.0
2026-01-04,25,2026-01-04 00:00:00,2026-01-04 00:01:00,1.0
2026-01-04,26,2026-01-04 00:04:00,2026-01-04 00:06:00,2.0
2026-01-04,27,2026-01-04 09:07:00,2026-01-04 16:08:00,421.0
2026-01-04,28,2026-01-04 16:10:00,2026-01-04 16:16:00,6.0
2026-01-04,29,2026-01-04 17:46:00,2026-01-04 17:49:00,3.0
2026-01-04,30,2026-01-04 18:39:00,2026-01-04 19:04:00,25.0
2026-01-04,31,2026-01-04 19:18:00,2026-01-04 23:59:00,281.0
2026-01-05,31,2026-01-05 00:00:00,2026-01-05 00:09:00,9.0
2026-01-05,32,2026-01-05 08:35:00,2026-01-05 08:35:00,0.016666666666666666
2026-01-05,33,2026-01-05 08:37:00,2026-01-05 14:01:00,324.0
2026-01-05,34,2026-01-05 14:03:00,2026-01-05 14:04:00,1.0
