Date,Peak ID,min_time,max_time,Duration (minutes)
2025-12-29,0,2025-12-29 13:37:00,2025-12-29 16:29:00,172.0
2025-12-29,1,2025-12-29 16:34:00,2025-12-29 16:34:00,0.016666666666666666
2025-12-29,2,2025-12-29 16:37:00,2025-12-29 16:39:00,2.0
2025-12-29,3,2025-12-29 16:41:00,2025-12-29 16:41:00,0.016666666666666666
2025-12-29,4,2025-12-29 16:43:00,2025-12-29 16:43:00,0.016666666666666666
2025-12-29,5,2025-12-29 16:45:00,2025-12-29 16:45:00,0.016666666666666666
2025-12-29,6,2025-12-29 16:50:00,2025-12-29 16:51:00,1.0
2025-12-29,7,2025-12-29 16:53:00,2025-12-29 16:53:00,0.016666666666666666
2025-12-29,8,2025-12-29 17:16:00,2025-12-29 17:16:00,0.016666666666666666
2025-12-29,9,2025-12-29 19:01:00,2025-12-29 19:01:00,0.016666666666666666
2025-12-29,10,2025-12-29 19:12:00,2025-12-29 23:59:00,287.0
2025-12-30,10,2025-12-30 00:00:00,2025-12-30 15:02:00,902.0
2025-12-30,11,2025-12-30 15:04:00,2025-12-30 15:04:00,0.016666666666666666
2025-12-30,12,2025-12-30 15:08:00,2025-12-30 15:08:00,0.016666666666666666
2025-12-30,13,2025-12-30 15:15:00,2025-12-30 15:16:00,1.0
2025-12-30,14,2025-12-30 17:59:00,2025-12-30 23:59:00,360.0
2025-12-31,14,2025-12-31 00:00:00,2025-12-31 23:59:00,1439.0
2026-01-01,14,2026-01-01 00:00:00,2026-01-01 04:42:00,282.0
2026-01-01,15,2026-01-01 07:35:00,2026-01-01 07:36:00,1.0
2026-01-01,16,2026-01-01 07:40:00,2026-01-01 07:41:00,1.0
2026-01-01,17,2026-01-01 07:46:00,2026-01-01 08:08:00,22.0
2026-01-01,18,2026-01-01 08:32:00,2026-01-01 13:38:00,306.0
2026-01-01,19,2026-01-01 13:40:00,2026-01-01 13:40:00,0.016666666666666666
2026-01-01,20,2026-01-01 13:44:00,2026-01-01 13:44:00,0.016666666666666666
2026-01-01,21,2026-01-01 13:50:00,2026-01-01 13:55:00,5.0
2026-01-01,22,2026-01-01 13:57:00,2026-01-01 13:57:00,0.016666666666666666
2026-01-01,23,2026-01-01 14:01:00,2026-01-01 14:08:00,7.0
2026-01-01,24,2026-01-01 14:20:00,2026-01-01 14:20:00,0.016666666666666666
2026-01-01,25,2026-01-01 16:16:00,2026-01-01 16:17:00,1.0
2026-01-01,26,2026-01-01 18:11:00,2026-01-01 18:30:00,19.0
2026-01-01,27,2026-01-01 18:32:00,2026-01-01 19:04:00,32.0
2026-01-02,28,2026-01-02 07:24:00,2026-01-02 07:25:00,1.0
2026-01-02,29,2026-01-02 08:08:00,2026-01-02 08:28:00,20.0
2026-01-02,30,2026-01-02 08:33:00,2026-01-02 08:34:00,1.0
2026-01-02,31,2026-01-02 08:46:00,2026-01-02 08:49:00,3.0
2026-01-02,32,2026-01-02 09:25:00,2026-01-02 09:29:00,4.0
2026-01-02,33,2026-01-02 09:47:00,2026-01-02 13:25:00,218.0
2026-01-02,34,2026-01-02 17:23:00,2026-01-02 20:01:00,158.0
2026-01-02,35,2026-01-02 20:32:00,2026-01-02 22:21:00,109.0
2026-01-03,36,2026-01-03 02:02:00,2026-01-03 02:02:00,0.016666666666666666
2026-01-03,37,2026-01-03 03:36:00,2026-01-03 03:36:00,0.016666666666666666
2026-01-03,38,2026-01-03 03:38:00,2026-01-03 03:41:00,3.0
2026-01-03,39,2026-01-03 03:43:00,2026-01-03 03:44:00,1.0
2026-01-03,40,2026-01-03 03:46:00,2026-01-03 13:51:00,605.0
2026-01-03,41,2026-01-03 19:09:00,2026-01-03 19:10:00,1.0
2026-01-03,42,2026-01-03 19:13:00,2026-01-03 23:59:00,286.0
2026-01-04,42,2026-01-04 00:00:00,2026-01-04 00:54:00,54.0
2026-01-04,43,2026-01-04 00:56:00,2026-01-04 00:57:00,1.0
2026-01-04,44,2026-01-04 00:59:00,2026-01-04 00:59:00,0.016666666666666666
2026-01-04,45,2026-01-04 01:01:00,2026-01-04 01:01:00,0.016666666666666666
2026-01-04,46,2026-01-04 01:03:00,2026-01-04 01:03:00,0.016666666666666666
2026-01-04,47,2026-01-04 01:14:00,2026-01-04 01:15:00,1.0
2026-01-04,48,2026-01-04 01:27:00,2026-01-04 01:27:00,0.016666666666666666
2026-01-04,49,2026-01-04 01:35:00,2026-01-04 01:35:00,0.016666666666666666
2026-01-04,50,2026-01-04 02:06:00,2026-01-04 02:07:00,1.0
2026-01-04,51,2026-01-04 02:12:00,2026-01-04 02:12:00,0.016666666666666666
2026-01-04,52,2026-01-04 08:02:00,2026-01-04 08:02:00,0.016666666666666666
2026-01-04,53,2026-01-04 08:04:00,2026-01-04 15:07:00,423.0
2026-01-04,54,2026-01-04 15:09:00,2026-01-04 15:17:00,8.0
2026-01-04,55,2026-01-04 17:06:00,2026-01-04 17:07:00,1.0
2026-01-04,56,2026-01-04 18:46:00,2026-01-04 18:50:00,4.0
2026-01-04,57,2026-01-04 18:52:00,2026-01-04 18:53:00,1.0
2026-01-04,58,2026-01-04 19:18:00,2026-01-04 23:59:00,281.0
2026-01-05,58,2026-01-05 00:00:00,2026-01-05 00:17:00,17.0
2026-01-05,59,2026-01-05 00:19:00,2026-01-05 00:19:00,0.016666666666666666
2026-01-05,60,2026-01-05 07:29:00,2026-01-05 07:29:00,0.016666666666666666
2026-01-05,61,2026-01-05 07:31:00,2026-01-05 07:35:00,4.0
2026-01-05,62,2026-01-05 07:39:00,2026-01-05 07:39:00,0.016666666666666666
2026-01-05,63,2026-01-05 07:41:00,2026-01-05 07:46:00,5.0
2026-01-05,64,2026-01-05 07:49:00,2026-01-05 07:49:00,0.016666666666666666
2026-01-05,65,2026-01-05 07:54:00,2026-01-05 14:07:00,373.0
2026-01-05,66,2026-01-05 14:09:00,2026-01-05 14:09:00,0.016666666666666666
2026-01-05,67,2026-01-05 14:14:00,2026-01-05 14:14:00,0.016666666666666666
2026-01-05,68,2026-01-05 14:17:00,2026-01-05 14:38:00,21.0
2026-01-05,69,2026-01-05 19:08:00,2026-01-05 20:14:00,66.0
2026-01-06,70,2026-01-06 07:30:00,2026-01-06 07:36:00,6.0
2026-01-06,71,2026-01-06 07:39:00,2026-01-06 07:45:00,6.0
2026-01-06,72,2026-01-06 07:47:00,2026-01-06 07:51:00,4.0
2026-01-06,73,2026-01-06 08:14:00,2026-01-06 13:53:00,339.0
2026-01-06,74,2026-01-06 13:59:00,2026-01-06 14:03:00,4.0
2026-01-06,75,2026-01-06 14:06:00,2026-01-06 14:06:00,0.016666666666666666
2026-01-06,76,2026-01-06 14:13:00,2026-01-06 14:13:00,0.016666666666666666
2026-01-06,77,2026-01-06 17:25:00,2026-01-06 17:37:00,12.0
